Date / Time,Label,Old value,Current value,Unit of value,etCO2 [kPa],MV [l/min],Pmean [cmH2O],PIP [cmH2O],PPlat [cmH2O],PEEP [cmH2O],FiO2 [Vol%],prim. Agent exp [Vol%],prim. Agent type,N2O exp [Vol%],Set FG O2 [Vol%],Set FG flow [l/min],Set Carrier gas,Set Vt [ml],Set PEEP [cmH2O],Set dPs [cmH2O],Set Pinsp [cmH2O],Set Phigh [cmH2O],Set Plow [cmH2O],Set Thigh [s],Set Tlow [s],Set RR [breaths/min],Set RRmin [breaths/min],Set Agent [Vol%],Set Agent type,Procedure Duration [s],Set SustInfPressure [cmH2O],Set SustInfDuration [s],Set IncPeepMaxPinsp [cmH2O],Set IncPeepMaxPeep [cmH2O]
12-Feb-2021 14:39:27,System state changed,Off,Product test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-Feb-2021 14:50:11,System state changed,Off,Product test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-Feb-2021 14:50:46,System state changed,Product test,Shut down,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-Feb-2021 14:51:57,Alarm,,Flow sensor calibration required,low grade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-Feb-2021 14:52:04,System state changed,Off,Standby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-Feb-2021 14:52:04,Alarm,,"Add. O2" activated,medium grade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-Feb-2021 14:52:39,System state changed,Standby,System test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-Feb-2021 14:53:32,Vaporizers checked,,Fully operational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-Feb-2021 14:53:33,Gas supply checked,,Fully operational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-Feb-2021 14:53:33,Hose system checked,,Fully operational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-Feb-2021 14:53:33,Valves checked,,Fully operational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-Feb-2021 14:53:34,Components checked,,Fully operational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-Feb-2021 14:53:34,Accessories checked,,Fully operational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-Feb-2021 15:00:55,Leakage (auto),,10,ml/min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-Feb-2021 15:00:55,Leakage (total),,64,ml/min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-Feb-2021 15:00:55,Compliance,,2.5,ml/cmH2O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-Feb-2021 15:01:44,System test,,Fully operational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-Feb-2021 15:01:44,System state changed,System test,Standby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-Feb-2021 15:02:10,Access granted: Correct configuration password.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-Feb-2021 15:04:17,Access granted: Correct configuration password.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-Feb-2021 15:04:47,Start of therapy,,New adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-Feb-2021 15:04:47,Patient category,,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-Feb-2021 15:04:47,Patient weight,,75,kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-Feb-2021 15:04:47,Patient height,,181,cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-Feb-2021 15:04:47,Patient age,,32,year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-Feb-2021 15:04:47,Ventilation settings,,MAN/SPON,,,,,,,,,,,,,,,,Off,,,,,,,,,,,,,,,
12-Feb-2021 15:04:47,Gas settings,,,,,,,,,,,,,,100,3.00,,,,,,,,,,,,,,,,,,
12-Feb-2021 15:04:55,FG flow,3.00,6.00,l/min,,,,,,,,,,,,6.00,,,,,,,,,,,,,,,,,,
12-Feb-2021 15:05:00,O2,100,60,Vol%,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,
12-Feb-2021 15:05:05,Measurements,,,,0.0,0.00,0,0,,0,79,0.00,0,,,,,,,,,,,,,,,,,,,,,
12-Feb-2021 15:05:18,Measurements,,,,0.0,0.01,0,28,,22,90,0.00,0,,,,,,,,,,,,,,,,,,,,,
